NSN,rep_office,common_name,Description,Price,UI,AAC
3920008471305,General Products,Hand Truck,"This hand truck is portable and lightweight with either a collapsible, compact or foldup design. The wheels are highimpact poly, steel or rubber, 4 to 8"" in diameter. The maximum carrying capacity is 200 lbs.",87.35,EA,H
3990001719774,General Products,Load Binder,"Lightduty binder has a 12,000lb load rating. Has grab hooks and a slack takeup hook, but no compression spring. For 1/4"" and 3/8"" chains. Features a 16"" to 21"" operating lever. Leveroperated, allsteel, eccentric mechanism is used for tensioning tied",40.47,EA,H
3990001719775,General Products,Load Binder,"Heavyduty binder has a 15,000lb load rating. Has grab hooks, a slack takeup hook and a compression spring. For 3/8 to 1/2"" chains. Has a 20"" operating lever. Leveroperated, allsteel, eccentric mechanism is used for tensioning tiedown devices to bind",78.4,EA,H
3990005967051,General Products,Load Binder,"Heavyduty binder has a 15,000lb tensile proof rating. (Binder does not contain a compression spring). For 3/8"" through 1/2"" chains. Maximum length of operating lever is 19"". Latchingtype binder has a low energyrelease feature. Leveroperated, allstee",75.41,EA,H
4010001495584,General Products,Chain,"Generaluse uncoated welded steel chain includes no attachments. Safe working load is 4,500 lbs.; Breaking load 18,000lbs. Nominal (trade) size of chain is 1/2""; Nominal inside link dimensions: 11/2 x 13/16"", proof coil. Fed. Spec. RRC271 Type 1 Clas",247,LG,H
4010001714426,General Products,SingleLeg Chain Assembly,"Lightservice chain, safe working load 1,900lbs. Nominal inside link dimensions: 13/32 x 1/2"". Nominal (trade) size 5/16"" links, proof coil chain. Fed. Spec. RRC271 Type 1 Class 4. Welded steel chain assembly is intended for general service. Includes ",38.25,EA,H
4010001714427,General Products,SingleLeg Chain Assembly,"Ruggedservice chain safe working load is 5,400lbs. Maximum inside link dimensions: 13/16 x 19/32"".  Chain is forged from hightest, heattreated carbon steel. Nominal (trade) size 3/8"" links. Fed. Spec. RRC271 Type 1 Class 2. Welded steel chain assem",46.21,EA,H
4010001714512,General Products,Sash Chain,"Weldless sash chain is made of strong, coppercoated carbon steel. Breaking strength 300 psi. Trade size 8.",155.25,RL,H
4010001910091,General Products,Chain Link,"Link has a 1,250lb safe working load and 5,000lb minimum breaking load. Overall outside dimensions are 11/2 x 1"". Ovalshaped steel connecting link repairs steel chain and allows for addons. Use for assembly with rivets only.",28.65,BX,H
4020000687906,General Products,Rope,"Has a 890lb. breaking strength. Diameter: 3/8"". (NFES #001801) Made of cotton or cottonblend fibers. Twisted, threestrand rope is suitable for various uses, such as cattle ties, lines, halters and tent ropes. AA52088.",89.4,SL,H
4020000687907,General Products,Rope,"Has a 1,450lb. breaking strength. Diameter: 1/2"". Made of cotton or cottonblend fibers. Twisted, threestrand rope is suitable for various uses, such as cattle ties, lines, halters and tent ropes. AA52088.",134.98,SL,H
4020001417152,General Products,Rope,"Rope diameter 3/4"" each, three multi strands configuration. Has a 13,200lb. breaking strength. Made of nylon fiber, this rope has a righthand or ""Z"" twist and 55 percent elongation. Especially useful for mooring, towing and hoisting operations; heat and",390.02,RL,H
4020002402142,General Products,Sash Cord,Has a 720lb breaking strength. Polished finish is lustrous and smooth. Cotton or cottonblend yarn is braided over cotton fiber for use as sash cord. AA55622.,170.58,RL,H
4020002402146,General Products,Cord,"Braided polyamide nylon cord is light and heatresistant. Has a 550lb. breaking strength and 30 percent minimum elongation. Used by the Forest Service for shroud lines on cargo parachutes. PIAC5040, Type III. (NFES #000533)",195.24,SL,H
4020002418439,General Products,Sash Cord,Has a 720lb breaking strength. Cotton or cottonblend yarn is braided over cotton fiber for use as sash cord. AA55622.,13.79,HK,H
4020002898616,General Products,Rope,"Rope diameter 5/8"" each, three multi strands configuration. Has a 3,960lb breaking strength. Made of manila fibers, this rope is impregnated with an oil preservative. TR605.",197.23,CL,H
4020005513343,General Products,Sash Cord,Has a 370lb breaking strength. Polished finish is lustrous and smooth. Cotton or cottonblend yarn is braided over cotton fiber for use as sash cord. AA55622.,140.97,RL,H
4020007825574,General Products,Twine,"Minimum twoply twine has a breaking strength of 201/2 lb. Twine is rolled into a 5lb cone. White cotton or cottonpolyester blend twine has a natural finish and an ""S"" twist. Use in USPS mailtying machines. Redcolored 20' trailer indicates end of twi",18.14,CE,H
4020009193443,General Products,Rope,"Rope diameter 1"" each, three multi strands configuration. Has a 23,200lb. breaking strength. Made of nylon fiber, this rope has a righthand or ""Z"" twist and 55 percent elongation. Especially useful for mooring, towing and hoisting operations; heat and l",684.7,RL,H
4020009283438,General Products,Rope,"Rope diameter 1/4"" each, three multi strands configuration. Has a 1,500lb. breaking strength. Made of nylon fiber, this rope has a righthand or ""Z"" twist and 55 percent elongation. Especially useful for mooring, towing and hoisting operations; heat and ",45.79,RL,H
4020009681350,General Products,Rope,"Rope diameter 1/4"" each, three multi strands configuration. Has a 1,000lb breaking strength. Polypropylene fiber rope has a righthand or ""Z""  lay and 45 percent elongation. The rope is intended for use where light weight and floatability are required an",18.4,RL,H
4020009681351,General Products,Rope,"Rope diameter 3/8"" each, three multi strands configuration. Has a 2,150lb breaking strength. Polypropylene fiber rope has a righthand or ""Z""  lay and 45 percent elongation. The rope is intended for use where light weight and floatability are required an",41.4,RL,H
4020009681356,General Products,Rope,"Rope diameter 3/8"" each, three multi strands configuration. Has a 3,300lb. breaking strength. Made of nylon fiber, this rope has a righthand or ""Z"" twist and 55 percent elongation. Especially useful for mooring, towing and hoisting operations; heat and ",98.84,RL,H
4020009681357,General Products,Rope,"Rope diameter 1/2"" each, three multi strands configuration. Has a 5,800lb. breaking strength. Made of nylon fiber, this rope has a righthand or ""Z"" twist and 55 percent elongation. Especially useful for mooring, towing and hoisting operations; heat and ",170.53,RL,H
4020009681358,General Products,Rope,"Rope diameter 5/8"" each, three multi strands configuration. Has a 9,800lb. breaking strength. Made of nylon fiber, this rope has a righthand or ""Z"" twist and 55 percent elongation. Especially useful for mooring, towing and hoisting operations; heat and ",289.8,RL,H
4110002558760,Hardware,Office Water Cooler,"Fresh water at your fingertips.  Bubblerstyle drinking water dispenser gives a stream of water that arches from the outlet to the drain pan.  Attaches to normal, pressurized water supply pipe.  Electrically cooled unit has a selfclosing faucet and is en",728.38,EA,H
4130002033321,General Products,Air Conditioner Filter,"This fiberglass filter is designed for use in airconditioning, heating and ventilation systems in which the face velocity of the air stream is approximately 300feet per minute. Effectively filters dust and lint from air. Disposable, paneltype filter fe",17.8,DZ,H
4130002490966,General Products,Air Conditioner Filter,"This fiberglass filter is designed for use in airconditioning, heating and ventilation systems in which the face velocity of the air stream is approximately 300feet per minute. Effectively filters dust and lint from air. Disposable, paneltype filter fe",15.87,DZ,H
4130002747800,General Products,Air Conditioner Filter,"This fiberglass filter is designed for use in airconditioning, heating and ventilation systems in which the face velocity of the air stream is approximately 300feet per minute. Effectively filters dust and lint from air. Disposable, paneltype filter fe",14.21,DZ,H
4130005413220,General Products,Air Conditioner Filter,"This fiberglass filter is designed for use in airconditioning, heating and ventilation systems in which the face velocity of the air stream is approximately 300feet per minute. Effectively filters dust and lint from air. Disposable, paneltype filter fe",11.18,DZ,H
4130007204143,General Products,Air Conditioner Filter,"This fiberglass filter is designed for use in airconditioning, heating and ventilation systems in which the face velocity of the air stream is approximately 300feet per minute. Effectively filters dust and lint from air. Disposable, paneltype filter fe",11.04,DZ,H
4130007561840,General Products,Air Conditioner Filter,"This fiberglass filter is designed for use in airconditioning, heating and ventilation systems in which the face velocity of the air stream is approximately 300feet per minute. Effectively filters dust and lint from air. Disposable, paneltype filter fe",16.42,DZ,H
4130008708796,General Products,Air Conditioner Filter,"This fiberglass filter is designed for use in airconditioning, heating and ventilation systems in which the face velocity of the air stream is approximately 300feet per minute. Effectively filters dust and lint from air. Disposable, paneltype filter fe",9.94,DZ,H
4140002569912,Hardware,Circulating Fan,"Minimum 2000 cfm air flow. Keep cool with this threespeed oscillating fan. Features onoff switch and low, medium, and high speeds.  Wall or desk mount; oscillates 80°; converts from wall to desk with no tools. Made with three impactresistant plastic bl",37.24,EA,H
4140008519319,Hardware,Circulating Fan,"Minimum 4000 cfm air flow. Keep cool with this threespeed oscillating fan. Features onoff switch and low, medium, and high speeds.  Wall or desk mount; oscillates 80°; converts from wall to desk with no tools. Made with three impactresistant plastic bl",39.77,EA,H
4140009615480,Hardware,Circulating Fan,"Minimum 2600 cfm air flow. Beat the heat with this highvelocity, twospeed fan. Use on the floor, desk or wall as an air circulator. It may also be used in the window for exhaust or intake purposes. The plastic blades circulate  a minimum of 2600 CFM of ",73.22,EA,H
4140012781527,Hardware,Circulating Fan,"Fan provides 8050 cfm air flow. Oscillates a minimum of 80° and can be locked at any point on that oscillation range. Stay cool with this columnmounted, twospeed (minimum) pedestal fan that adjusts to heights up to 96"". Head of fan tilts 5° below and 15",230.21,EA,H
4140012783874,Hardware,Circulating Fan,"Fan provides 3925/5350 cfm air flow. Oscillates a minimum of 80° and can be locked at any point on that oscillation range. Stay cool with this columnmounted, twospeed (minimum) pedestal fan that adjusts to heights up to 96"". Head of fan tilts 5° below a",242.29,EA,H
4140014164898,Hardware,Circulating Fan,"Minimum 500 cfm air flow. Lightweight, portable, twospeed electric fan clips onto most objects 3/4 to 13/8"" wide. The multidirectional tilt adjusts easily. A safety guard completely covers the plastic blade assembly. This oscillating fan operates on 11",23.29,EA,H
4210001654703,General Products,Fire Extinguisher,Rating is 3A:40B:C with a 5lb. charge. Has stored pressure and is refillable. Vehicle mounting bracket included. Dry chemical for class A:B:C: Type fires (multipurpose phosphate). Designed for extinguishing small fires. Ratings are based on UL 711 testi,31.14,EA,H
4210005951777,General Products,Fire Extinguisher,"Rating is 5B:C with a 5lb. charge. USCG approved mounting bracket is included. Carbon dioxide (CO2) fire extinguisher. UL 154.  USCG approved for marine use. Designed for extinguishing small fires. Ratings are based on UL 711 testing, which uses the foll",104.88,EA,H
4210007750127,General Products,Fire Extinguisher,"Rating is 20B:C with a 5lb. charge. Has stored pressure and is refillable. Vehicle mounting bracket is included. Dry chemical for class B:C type fires (potassium bicarbonate). Designed for extinguishing small fires. Ratings are based on UL 711 testing, w",40.04,EA,H
4210008892491,General Products,Fire Extinguisher,Rating is 4A:60B:C with a 10lb. charge. Has stored pressure and is refillable. Wall mounting bracket is included. Dry chemical for class A:B:C: Type fires (multipurpose phosphate). Designed for extinguishing small fires. Ratings are based on UL 711 test,44.31,EA,H
4210008892492,General Products,Fire Extinguisher,Rating is 10A:120B: C: with a 20lb. charge. Has stored pressure and is refillable. Wallmounting bracket included. (NFES #000307) Dry chemical for class A:B:C: Type fires (multipurpose phosphate). Designed for extinguishing small fires. Ratings are base,78.66,EA,H
4210009651105,General Products,Fire Extinguisher,"Rating is 10B:C with 21/2lb. charge. Has stored pressure and is refillable. Vehicle mounting bracket is included. Dry chemical for class B:C type fires (potassium bicarbonate). Designed for extinguishing small fires. Ratings are based on UL 711 testing,",28.74,EA,H
4210009651107,General Products,Fire Extinguisher,"Rating is 80B:C with a 10lb. charge. Has stored pressure and is refillable. Wall mounting bracket is included. Dry chemical for class B:C type fires (potassium bicarbonate). Designed for extinguishing small fires. Ratings are based on UL 711 testing, whi",65.23,EA,H
4210012459850,General Products,Fire Extinguisher,Rating is 1A:10B:C with a 21/2 lb. charge. Has stored pressure and is refillable. DOT/USCG approved vehicle/marine mounting bracket is included. Dry chemical for class A:B:C: Type fires (multipurpose phosphate). Designed for extinguishing small fires. R,22.68,EA,H
4235014410246,General Products,Absorbent Pad,"Woolzorb sorbent pad is made of organic fibers and wool. Ideal for spills and cleanup in the shop and field. Absorbs oils, grease, coolants, solvents and water (universal). Each pad will absorb up to 0.25 gallons and is reusable up to ten times. Incinerat",75.73,BX,H
4235014410248,General Products,SpillContainment Boom (Absorbent),"Wooly Boom sorbent is made of organic fibers, cotton and wool. Boom absorbs up to 40 times its weight in liquid hydrocarbons. Used for containing fuel and oil spills on land, streams, lakes, rivers and salt water. Features a quick lock buckling system for",189.09,BX,H
4235014518744,General Products,Absorbent Pad,"Cottonsoak sorbent pad is made of 100 percent cotton. Ideal for all hydrocarbon spills. Absorbs light oils, gasoline, diesel fuel, jet fuel and hydraulic oils (oil only). Each pad will absorb up to 0.25 gallons and is reusable up to 10 times. Incinerates ",77.74,BD,H
4235014535159,General Products,Drum Top Pad (55 Gallon) (Absorbent),100 percent wool pad sorbent fits the top of a fiftyfivegallon drum. Absorbs oil and water (universal). Reusable and environmentally friendly.,74.64,BX,H
4235014568571,General Products,Absorbent Pillow,"Cotton sorbent pillow is made of 100 percent cotton. Ideal for spill cleanup. Absorbs oils, coolants and solvents (oil only). Each pillow will absorb up to 1.4 gallons and is reusable up to ten times. Environmentally friendly.",78.84,BX,H
4235014568575,General Products,Absorbent Pillow,"Wool sorbent pillow is made of wool and organic fibers. Ideal for spill cleanup. Absorbs oils, coolants, solvents and water (universal). Each pillow will absorb up to 1.4 gallons each and is reusable up to ten times. Environmentally friendly.",80.34,BX,H
4235014568862,General Products,SpillContainment Sock (Absorbent),"Wooly Snake sorbent is made of organic fibers and wool. Threeinch diameter, ideal for containing oil, coolant, solvents and water (universal). Molds easily and neatly around machinery. Reusable and environmentally friendly.",68.68,BX,H
4235014569899,General Products,Spill CleanUp Kit  Universal (Absorbent),"Thirteengallon sorbent spill kit for use with oil, coolants, solvents and water (universal). Kit contains: 18 x 18"" Woolzorb pads (universal) (25 each), 3 x 48"" Wooly Snakes (4 each), 18 x 18"" wool pillows (2 each), USADRI absorbent (5pounds), glasses ",157.15,KT,H
4235014570005,General Products,Spill CleanUp Kit  Universal (Absorbent),"Twentyonegallon sorbent spill kit for use with oil, coolants, solvents and water (universal). Kit contains: 18 x 18"" Woolzorb pads (universal) (50 each) , 3 x 48"" Wooly Snakes (4 each), 18 x 18"" wool pillows (2 each), USADRI absorbent (10pounds), pair",193.23,KT,H
4235014570031,General Products,Spill CleanUp Kit  Oil Only (Absorbent),"Biodegradable twentyonegallon sorbent spill kit for use with oil, coolants, and solvents (oil only). Kit contains: 18 x 18"" cotton pads (oil only) (50 each),  3 x 48"" Wooly Snakes (4 each) ,  18 x 18"" cotton pillows (2 each), USADRI absorbent (10pound",186.59,KT,H
4235014570421,General Products,Spill Kit Refill  Universal (Absorbent),"Fiftyfivegallon drum not included with the DIY thirtysevengallon spill kit. Thirtysevengallon sorbent spill kit (refill) for use with oil, coolants, solvents and water (universal). Kit contains: 18 x 18"" Woolzorb pads (universal) (100 each),  3 x 48",207.46,KT,H
4235014570431,General Products,Spill Kit Refill  Oil Only (Absorbent),"Fiftyfivegallon drum not included with the DIY thirtysevengallon spill kit. Thirtysevengallon sorbent spill kit (refill) for use with oil, coolants, and solvents (oil only). Kit contains: 18 x 18"" cotton pads (oil only) (100 each), 3 x 48"" Wooly Sna",207.68,KT,H
4235014570518,General Products,Spill CleanUp Kit  Oil Only (Absorbent),"Fortygallon sorbent spill kit for use with oil, coolants, and solvents (oil only). Kit contains: 18 x 18"" cotton pads (oil only)  (100 each) , 3 x 48"" Wooly Snakes (10 each), 18 x 18"" cotton pillows (6 each), bio rags (50 each), USADRI absorbent (20pou",510.74,KT,H
4235014570658,General Products,Travel Spill Kit  Oil Only (Absorbent),"Eightgallon sorbent travel spill kit for use with oil, coolants, and solvents (oil only). Kit contains: 18 x 18"" cotton pads (oil only) (15 each), 3 x 48"" Wooly Snakes (4 each),  USADRI absorbent (5pounds), glasses (1 pair), gloves (1 pair), Emergency ",103.72,KT,H
4235014570663,General Products,Spill CleanUp Kit  Oil Only (Absorbent),"Sixtyfivegallon sorbent spill kit for use with oil, coolants, and solvents (oil only). Kit contains: 18 x 18"" cotton pads (oil only) (100 each), 3 x 96"" Wooly Snakes (8 each), 3 x 48"" Wooly Snakes (10 each), 18 x 18"" cotton pillows (10 each), bio rags (",696.15,KT,H
4235014570677,General Products,Spill CleanUp Kit  Oil Only (Absorbent),"Container features 3"" poly wheels. Eightygallon sorbent spill kit for use with oil, coolants, and solvents (oil only). Kit contains: 18 x 18"" cotton pads (oil only) (150 each), 3 x 96"" Wooly Snakes (4 each), 3 x 48"" Wooly Snakes (10 each), 18 x 18"" cotto",1085.07,KT,H
4240000523776,General Products,Safety Goggles,"Safetytype goggles provide eye protection against small flying particles of dust, chips and machine cuttings. Molded plastic flexible frame has clear plastic lenses and an adjustable elastic webbing headband. Goggles are ventilated to reduce fogging and ",2.99,PR,H
4240002033804,General Products,Safety Goggles,"Welder's regulartype goggles have highdensity screwon filter lens for acetylene welding and cutting. Two cover lenses protect filter lenses from pitting. Protect eyes from stray sparks, scale or injurious light rays with these industrial safety goggles",9.95,PR,H
4240002627092,General Products,Industrial Goggle Lenses,"Clear cover plate to protect filter lenses. (Indirect ventilation eyecup lenses only.) Replacement lenses for welder's goggles measure 1.968"" (50mm) in diameter. Wellpolished, smooth and free of rough edges. ANSI Z87.1.",3.39,PR,H
4240002627099,General Products,Industrial Goggle Lenses,"Filter Shade No. 6. (Indirect ventilation eyecup lenses only). Replacement lenses for welder's goggles measure 1.968"" (50mm) in diameter. Wellpolished, smooth and free of rough edges. ANSI Z87.1.",5.75,PR,H
4240002697912,General Products,Safety Goggles,"Chipper's and grinder's covercuptype goggles have clear lenses, 50 mmdiameter. Protect eyes from stray sparks, scale or injurious light rays with these industrial safety goggles. A flexible, adjustable nose bridge connects two rigid eyecups. Goggles pr",8,PR,H
4240002699460,General Products,Safety Glasses,"Filter shade #2. For use while performing light grinding, turning metal or wood and drilling. Features plastic lenses, plastic frames and side shields. Lens color: clear. Cannot be worn over other glasses. Meets ANSI Z87.1 requirements.",9.96,PR,H
4240005164527,General Products,Safety Glasses,"For use while performing light grinding, turning metal or wood and drilling. Features plastic lenses, plastic frames and side shields. Lens color: clear. Cannot be worn over other glasses. Meets ANSI Z87.1 requirements.",7.98,PR,H
4240005164728,General Products,Safety Glasses,"For use while performing light grinding, turning metal or wood and drilling. Features plastic lenses, plastic frames and side shields. Lens color: clear. Cannot be worn over other glasses. Meets ANSI Z87.1 requirements.",7.58,PR,H
4240005400623,General Products,Welder's Helmet,"Fullcoverage welder's face shield protects the head and neck from welding splatter and radiant energy. Features a 4.25"" x 2"" flipup shade plate holder. Helmet includes headgear that can rotate up out of the way. No.10 shade plate and clear cover plate i",44.89,EA,H
4240005422048,General Products,Face Shield,"For use when cutting, grinding or chipping wood or metal or when handling hazardous liquids, pathogenic viruses or chemicals. Nonirritating, adjustable locking headgear includes a vulcanized fiber crown protector and adjustable and replaceable sweatband.",8.18,EA,H
4240012922818,General Products,Safety Goggles,Wrap around style goggles for use as primary eye protection while performing any job that can possibly produce eyedamaging debris. Indirect ventilated goggles permit the passage of air and may prevent the direct passage of liquids from chemical splash ha,5.74,PR,H
4240014635449,General Products,Dust Mask (Disposable),"Lightweight dust mask features an adjustable nose clip and adjustable upper and lower elastic straps to hold it in place, making it ideal for covering nose and mouth. Excellent for use when grinding, sanding, sweeping, bagging, and other dusty operations",6.21,BX,H
4240014920177,General Products,Disposable Particulate Respirator,"Lightweight, lowprofile design provides worker comfort, minimizes interference with eye protection. NIOSH N95 protection provides protection against nonoil particulates and is 95 percent efficient. Designed to function as a onesizefitsall respirator ",6.56,BX,H
4320008529036,General Products,Tire Pump,"Portable, lowpressure rustresistant pump has a 24"" rubber air hose with a screwon connector and check valve to stop back pressure. Has a single or dual footrest plate, a metal barrel with a steel plunger rod, a replaceable leather cup and a Thandle.",18.34,EA,H
4460014434895,General Products,Electronic Air Freshener,"Refill cartridges for the Optimum 3000 Air Freshener, are 4460014434896 (Citrus Fragrance) and 4460014434897 (Potpourri Fragrance) or equal. Optimum 3000, or equal is an air filtration and odoreliminating unit. Provides the power of HEPA air filtra",270.86,EA,H
4460014434896,General Products,Air Freshener Cartridge,"Air freshener refill cartridge for Optimum 3000, or equal air freshener. Includes a filter.",43.13,SE,H
4460014434897,General Products,Air Freshener Cartridge,"Air freshener refill cartridge for Optimum 3000, or equal air freshener. Includes a filter.",43.13,SE,H
4510002032707,General Products,Soap Dispenser,Handoperated dispenser delivers measured amounts of soap. Screws and brackets are included for mounting dispenser on the wall. Liquid soap dispensed using a pushin spring valve (location of valve and dispenser design may vary from picture shown). For us,7.48,EA,H
4510002032721,General Products,Toilet Paper Holder,Two metal support brackets hold springaction metal or plastic roller. Brackets conceal mounting hardware. Singleroll dispenser for use in public restrooms includes fasteners for surface mounting.,3.25,EA,H
4510002248549,General Products,Paper Towel Dispenser,"For use with paper towels, (singlefold) 8540002627178, 8540013590798, 8540010556134 and (wide fold) 8540002910389. Holds 350 singlefold towels measuring 91/4 x 51/2"" folded. Dispenses individual hand towels easily from bottom slot. The dis",19.41,EA,H
4510002471370,General Products,Toilet Seat,"Openfront, elongatedrim seat fits commercial toilet bowls. Selfsustaining metal hinges hold seat firmly in upright position. Seat does not have a cover. Solid plastic seat has a smooth, glossy surface with plastic bumpers on the underside. Easycare su",28.84,EA,H
4510005951785,General Products,Drum Faucet,"Selfclosing lock lever. Automatically closes when handle is released. Corrosionresistant barrel faucet without flash screen is not for use with volatile flammable liquids. Has 3/4""  14 NPT external threads for attachment; 3/4"" flow outlet. Do not use f",12.11,EA,H
4510007529065,General Products,Toilet Paper Holder,"Stainless steel and plastic cabinet has a satin finish. Holds three rolls. Surface mount and locking closure, for vertical mounting. Includes fasteners. Cabinet houses 1,000sheet rolls of toilet paper, which are dispensed from spools. Concealed supply ro",176.99,EA,H
